App;Open;date
youtube;dismissedAppOpening;2023-05-16T05:53:20Z
youtube;dismissedAppOpening;2023-05-16T12:29:06Z
youtube;dismissedAppOpening;2023-05-16T12:29:08Z
mydealz;dismissedAppOpening;2023-05-17T05:02:09Z
youtube;openedApp;2023-05-17T14:40:31Z
youtube;dismissedAppOpening;2023-05-18T15:35:02Z
youtube;openedApp;2023-05-18T15:35:12Z
mydealz;dismissedAppOpening;2023-05-18T20:52:45Z
youtube;dismissedAppOpening;2023-05-18T21:51:06Z
youtube;openedApp;2023-05-18T21:51:23Z
youtube;openedApp;2023-05-18T22:27:07Z
youtube;dismissedAppOpening;2023-05-18T22:56:32Z
youtube;dismissedAppOpening;2023-05-18T22:56:34Z
youtube;openedApp;2023-05-19T06:00:13Z
youtube;openedApp;2023-05-19T13:04:28Z
youtube;openedApp;2023-05-20T22:59:45Z
mydealz;dismissedAppOpening;2023-05-21T07:13:10Z
mydealz;dismissedAppOpening;2023-05-21T07:13:47Z
youtube;openedApp;2023-05-21T13:05:36Z
youtube;dismissedAppOpening;2023-05-21T20:45:42Z
youtube;dismissedAppOpening;2023-05-22T20:19:43Z
youtube;dismissedAppOpening;2023-05-22T20:19:57Z
youtube;dismissedAppOpening;2023-05-22T20:27:29Z
youtube;openedApp;2023-05-22T20:27:54Z
youtube;openedApp;2023-05-23T17:39:26Z
youtube;openedApp;2023-05-25T19:58:45Z
youtube;dismissedAppOpening;2023-05-27T06:41:40Z
youtube;dismissedAppOpening;2023-05-27T12:06:08Z
mail;openedApp;2023-05-29T09:27:51Z
mail;dismissedAppOpening;2023-05-29T09:30:01Z
mail;dismissedAppOpening;2023-05-29T09:30:16Z
mail;dismissedAppOpening;2023-05-29T09:30:18Z
youtube;openedApp;2023-05-29T11:12:58Z
youtube;openedApp;2023-05-29T11:31:49Z
youtube;openedApp;2023-05-29T12:22:22Z
mydealz;dismissedAppOpening;2023-05-29T12:23:55Z
youtube;dismissedAppOpening;2023-05-29T12:24:55Z
youtube;dismissedAppOpening;2023-05-29T15:08:01Z
